"Type","OriginSimple","ReviewStatus","NumberSubmitters","labels"
"Deletion","germline","practice guideline",86,"1"
"Microsatellite","germline","practice guideline",31,"1"
"single nucleotide variant","germline","reviewed by expert panel",20,"1"
"single nucleotide variant","germline","practice guideline",44,"1"
"single nucleotide variant","germline","practice guideline",23,"1"
"single nucleotide variant","germline","practice guideline",25,"1"
"single nucleotide variant","germline","practice guideline",31,"1"
"single nucleotide variant","germline","practice guideline",21,"1"
"single nucleotide variant","germline","reviewed by expert panel",15,"1"
"single nucleotide variant","germline","practice guideline",41,"1"
"single nucleotide variant","germline","no assertion criteria provided",1,"1"
"single nucleotide variant","germline","reviewed by expert panel",11,"1"
"single nucleotide variant","germline","practice guideline",30,"1"
"single nucleotide variant","germline","practice guideline",31,"1"
"single nucleotide variant","germline","reviewed by expert panel",17,"1"
"Deletion","germline","reviewed by expert panel",13,"1"
"single nucleotide variant","germline","reviewed by expert panel",12,"1"
"single nucleotide variant","germline","reviewed by expert panel",10,"1"
"single nucleotide variant","germline","practice guideline",38,"1"
"single nucleotide variant","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"single nucleotide variant","germline","criteria provided, single submitter",2,"1"
"Microsatellite","germline","reviewed by expert panel",19,"1"
"Deletion","germline","reviewed by expert panel",8,"1"
"single nucleotide variant","germline","practice guideline",48,"1"
"single nucleotide variant","germline","practice guideline",28,"1"
"single nucleotide variant","germline","reviewed by expert panel",5,"1"
"single nucleotide variant","germline","practice guideline",34,"1"
"Microsatellite","germline","reviewed by expert panel",17,"1"
"single nucleotide variant","germline","reviewed by expert panel",13,"1"
"single nucleotide variant","germline","practice guideline",28,"1"
"single nucleotide variant","germline","reviewed by expert panel",23,"1"
"Deletion","germline","reviewed by expert panel",4,"1"
"Deletion","germline","reviewed by expert panel",3,"1"
"Deletion","germline","reviewed by expert panel",7,"1"
"Insertion","germline","reviewed by expert panel",9,"1"
"single nucleotide variant","germline","reviewed by expert panel",14,"1"
"single nucleotide variant","germline","reviewed by expert panel",7,"1"
"single nucleotide variant","germline","reviewed by expert panel",8,"1"
"Microsatellite","germline","criteria provided, multiple submitters, no conflicts",3,"1"
"single nucleotide variant","germline","reviewed by expert panel",13,"1"
"single nucleotide variant","germline","reviewed by expert panel",9,"1"
